datesold,coded date,price,bedrooms,postcode
13/05/2017 00:00,149,1210000,3,2600
27/05/2017 00:00,150,1230000,3,2600
17/06/2017 00:00,151,1280000,3,2600
17/06/2017 00:00,152,1390000,3,2600
21/06/2017 00:00,153,1000000,3,2600
24/06/2017 00:00,154,1257000,3,2600
08/07/2017 00:00,155,1250000,3,2600
15/07/2017 00:00,156,1055000,3,2600
22/07/2017 00:00,157,1480000,3,2600
12/08/2017 00:00,158,1300000,3,2600
24/08/2017 00:00,159,1240000,3,2600
26/08/2017 00:00,160,1390000,3,2600
02/09/2017 00:00,161,1000000,3,2600
02/09/2017 00:00,162,1100000,3,2600
05/10/2017 00:00,163,1065000,3,2600
13/11/2017 00:00,164,1060000,3,2600
25/11/2017 00:00,165,1375000,3,2600
09/12/2017 00:00,166,1510000,3,2600
18/12/2017 00:00,167,1430000,3,2600
24/01/2018 00:00,168,1085000,3,2600
24/03/2018 00:00,169,2285000,3,2600
06/04/2018 00:00,170,1250000,3,2600
14/04/2018 00:00,171,1575000,3,2600
21/05/2018 00:00,172,1180000,3,2600
24/05/2018 00:00,173,1265000,3,2600
16/06/2018 00:00,174,1200000,3,2600
09/07/2018 00:00,175,1800000,3,2600
26/07/2018 00:00,176,1020000,3,2600
28/07/2018 00:00,177,940000,3,2600
27/10/2018 00:00,178,1345000,3,2600
30/11/2018 00:00,179,1315000,3,2600
01/12/2018 00:00,180,1675000,3,2600
11/01/2019 00:00,181,1050000,3,2600
19/03/2019 00:00,182,1160000,3,2600
25/04/2019 00:00,183,1225000,3,2600
03/06/2019 00:00,184,960000,3,2600
